Attrition,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobSatisfaction,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,CompanyTenureShare,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationFieldBucket_Health_Sciences,EducationFieldBucket_Other_Field,EducationFieldBucket_Technical,JobRoleBucket_Management_Admin,JobRoleBucket_Manufacturing,JobRoleBucket_Research_Lab,JobRoleBucket_Sales,MaritalStatus_Married,MaritalStatus_Single
1,-1.0109093429124179,-0.8916882501868245,-0.6605306743650393,0,0.3796721288811475,1.1532535902386967,2.1251359240839385,1,-1.1505541015749308,-1.584178240646517,-0.9320143892374165,-0.42164245835933756,-2.171981830933257,-2.4938204216722384,0.2983229624701303,False,True,False,True,True,False,False,False,False,False,True,False,True
0,-0.14714972001373974,-1.8684257522543597,0.2546249253678617,1,-1.0261667362455194,-0.6608531809232983,-0.6780493930322936,0,2.1293060069870897,1.1914379855160337,0.24198831185855807,-0.16451140099023315,0.1557070814399298,0.33809616377248186,1.1507914064214602,True,False,True,False,True,False,False,False,False,True,False,True,False
1,-0.8875151110697495,-0.8916882501868245,1.1697805251007627,1,-1.0261667362455194,0.24620020465769926,1.3242258334793007,1,-0.057267398720923963,-0.6589728319256667,-0.9320143892374165,-0.5502079870438897,0.1557070814399298,0.33809616377248186,-2.045965258396027,False,True,True,False,False,True,False,False,False,True,False,False,True
0,-0.7641208792270812,1.0617867539482457,1.1697805251007627,0,0.3796721288811475,0.24620020465769926,-0.6780493930322936,1,-1.1505541015749308,0.26623257679518353,-0.9320143892374165,-0.42164245835933756,0.1557070814399298,0.33809616377248186,1.079752369425516,True,False,True,False,True,False,False,False,False,True,False,True,False
0,-0.8875151110697495,-1.8684257522543597,-1.5756862740979403,1,0.3796721288811475,-0.6608531809232983,2.5255909693862573,0,-0.8772324258614291,1.1914379855160337,0.24198831185855807,-0.678773515728442,0.1557070814399298,0.33809616377248186,-1.0412703065962452,False,True,True,False,True,False,False,False,False,True,False,True,False
0,-0.8875151110697495,-0.8916882501868245,1.1697805251007627,1,0.3796721288811475,1.1532535902386967,-1.0785044383346125,0,-0.6039107501479274,0.26623257679518353,-0.9320143892374165,-0.42164245835933756,-0.6201892226844657,-1.0778621289498782,0.6890376659478233,True,False,True,False,True,False,False,False,False,True,False,False,True
0,-0.7641208792270812,0.08504925188071055,0.2546249253678617,0,1.7855109940078144,-1.5679065665042957,0.523315742874663,1,1.3093409798465847,-1.584178240646517,2.5899937140505074,0.09261965637887129,0.1557070814399298,-1.0778621289498782,-1.7754704636807008,False,True,True,False,True,False,False,False,False,True,False,True,False
0,1.827157989468953,-1.8684257522543597,1.1697805251007627,1,0.3796721288811475,0.24620020465769926,-0.6780493930322936,0,1.855984331273588,-0.6589728319256667,0.24198831185855807,-1.3216011591512031,-0.6201892226844657,0.33809616377248186,-0.2877490927464089,False,True,True,False,True,False,False,False,False,True,False,False,False
0,1.7037637576262845,0.08504925188071055,1.1697805251007627,1,-1.0261667362455194,0.24620020465769926,-1.0785044383346125,0,1.5826626555600865,-0.6589728319256667,-0.9320143892374165,-0.16451140099023315,-0.6201892226844657,0.33809616377248186,0.8311157399397118,True,False,True,False,True,False,False,False,True,False,False,False,True
0,2.197340684996958,0.08504925188071055,0.2546249253678617,1,0.3796721288811475,0.24620020465769926,1.3242258334793007,0,-0.6039107501479274,-0.6589728319256667,1.4159910129545328,0.7354472998016324,0.1557070814399298,-1.0778621289498782,-0.6784637962241018,False,True,True,False,True,False,False,False,False,False,False,True,False
0,0.8400041347276065,0.08504925188071055,-1.5756862740979403,1,1.7855109940078144,-0.6608531809232983,-1.0785044383346125,0,-0.6039107501479274,0.26623257679518353,0.24198831185855807,-0.678773515728442,1.707499689688721,0.33809616377248186,0.4657721211034274,False,True,True,False,True,False,False,False,False,True,False,True,False
0,0.7166099028849382,-0.8916882501868245,1.1697805251007627,0,-1.0261667362455194,0.24620020465769926,-1.0785044383346125,1,-0.8772324258614291,1.1914379855160337,-0.9320143892374165,-0.16451140099023315,0.1557070814399298,0.33809616377248186,0.8311157399397118,False,True,True,False,True,False,False,False,False,True,False,False,True
0,2.0739464531542895,-1.8684257522543597,-1.5756862740979403,1,0.3796721288811475,0.24620020465769926,-0.6780493930322936,0,0.4893759527060795,1.1914379855160337,0.24198831185855807,-0.8073390444129942,-1.3960855268088614,-1.0778621289498782,0.8843950176866698,False,True,True,False,True,False,False,False,False,True,False,False,False
0,1.2101868302556114,-0.8916882501868245,-0.6605306743650393,1,0.3796721288811475,1.1532535902386967,-1.0785044383346125,0,-1.1505541015749308,0.26623257679518353,0.24198831185855807,-1.0644701017820986,-0.6201892226844657,0.33809616377248186,-0.2877490927464089,False,True,True,False,True,False,False,False,False,True,False,False,False
1,1.827157989468953,0.08504925188071055,0.2546249253678617,1,-1.0261667362455194,0.24620020465769926,0.9237707881769818,1,-0.3305890744344257,-0.6589728319256667,-0.9320143892374165,-0.678773515728442,0.9316033855643254,0.33809616377248186,-0.036575354796463615,False,True,True,False,True,False,False,False,False,True,False,False,True
0,1.456975293940948,1.0617867539482457,-0.6605306743650393,0,1.7855109940078144,-1.5679065665042957,-0.6780493930322936,0,-1.1505541015749308,0.26623257679518353,0.24198831185855807,-0.16451140099023315,-1.3960855268088614,0.33809616377248186,1.1507914064214602,False,True,True,False,True,False,False,False,True,False,False,False,False
0,-0.5173324155417446,-0.8916882501868245,-1.5756862740979403,1,1.7855109940078144,-0.6608531809232983,-1.0785044383346125,1,-0.8772324258614291,1.1914379855160337,1.4159910129545328,-0.5502079870438897,1.707499689688721,-1.0778621289498782,0.5913589900784001,False,True,True,False,True,False,False,False,False,True,False,False,False
0,0.8400041347276065,-0.8916882501868245,1.1697805251007627,1,1.7855109940078144,1.1532535902386967,-0.6780493930322936,1,-0.6039107501479274,-0.6589728319256667,1.4159910129545328,-1.3216011591512031,-0.6201892226844657,-1.0778621289498782,-0.2877490927464089,False,False,True,False,True,False,False,False,False,True,False,False,False
0,-0.8875151110697495,1.0617867539482457,-1.5756862740979403,0,-1.0261667362455194,1.1532535902386967,-0.27759434772997477,0,0.21605427699257776,0.26623257679518353,-0.9320143892374165,2.535364701385363,0.1557070814399298,0.33809616377248186,0.7012475004315012,False,True,False,True,True,False,False,True,False,False,False,True,False
0,-0.8875151110697495,0.08504925188071055,1.1697805251007627,1,0.3796721288811475,1.1532535902386967,0.9237707881769818,1,-1.1505541015749308,0.26623257679518353,-0.9320143892374165,-0.678773515728442,0.1557070814399298,0.33809616377248186,-0.5389228306963544,False,True,True,False,True,False,False,False,False,True,False,False,True
0,0.2230329755142651,-0.8916882501868245,-1.5756862740979403,0,1.7855109940078144,0.24620020465769926,-1.0785044383346125,0,0.7626976284195812,1.1914379855160337,0.24198831185855807,-0.8073390444129942,1.707499689688721,-1.0778621289498782,0.2983229624701303,False,False,True,False,False,True,False,False,True,False,False,False,False
1,-0.02375548817107146,1.0617867539482457,0.2546249253678617,1,-1.0261667362455194,-1.5679065665042957,1.7246808787816195,0,2.1293060069870897,-0.6589728319256667,-0.9320143892374165,-0.16451140099023315,0.9316033855643254,0.33809616377248186,-0.44758692598728334,False,True,False,True,True,False,False,False,False,False,True,False,True
0,-0.270543951856408,1.0617867539482457,-1.5756862740979403,0,0.3796721288811475,-0.6608531809232983,-1.0785044383346125,0,-1.1505541015749308,0.26623257679518353,-0.9320143892374165,0.2211851850634235,0.9316033855643254,0.33809616377248186,0.9681195970033181,False,True,True,False,True,False,False,False,False,True,False,False,True
